#HIMS 5, Width 16 pulse, 1056
t(ms), signal(%full range)
6.198, 5.325
6.203, 5.329
6.208, 5.325
6.213, 5.325
6.218, 5.324
6.223, 5.326
6.228, 5.329
6.233, 5.327
6.238, 5.327
6.243, 5.322
6.248, 5.316
6.253, 5.316
6.258, 5.322
6.263, 5.325
6.268, 5.325
6.273, 5.324
6.278, 5.320
6.283, 5.326
6.288, 5.319
6.293, 5.316
6.298, 5.320
6.303, 5.324
6.308, 5.327
6.313, 5.327
6.318, 5.328
6.323, 5.331
6.328, 5.333
6.333, 5.326
6.338, 5.326
6.343, 5.329
6.348, 5.327
6.353, 5.323
6.358, 5.322
6.363, 5.319
6.368, 5.320
6.373, 5.318
6.378, 5.321
6.383, 5.315
6.388, 5.313
6.393, 5.320
6.398, 5.323
6.403, 5.318
6.408, 5.320
6.413, 5.318
6.418, 5.320
6.423, 5.323
6.428, 5.317
6.433, 5.314
6.438, 5.310
6.443, 5.313
6.448, 5.309
6.453, 5.306
6.458, 5.313
6.463, 5.321
6.468, 5.320
6.473, 5.319
6.478, 5.315
6.483, 5.311
6.488, 5.314
6.493, 5.313
6.498, 5.313
6.503, 5.312
6.508, 5.312
6.513, 5.311
6.518, 5.313
6.523, 5.316
6.528, 5.316
6.533, 5.320
6.538, 5.318
6.543, 5.312
6.548, 5.314
6.553, 5.314
6.558, 5.311
6.563, 5.317
6.568, 5.317
6.573, 5.314
6.578, 5.316
6.583, 5.321
6.588, 5.317
6.593, 5.316
6.598, 5.318
6.603, 5.318
6.608, 5.315
6.613, 5.318
6.618, 5.312
6.623, 5.314
6.628, 5.323
6.633, 5.320
6.638, 5.320
6.643, 5.319
6.648, 5.322
6.653, 5.321
6.658, 5.320
6.663, 5.313
6.668, 5.312
6.673, 5.308
6.678, 5.312
6.683, 5.307
6.688, 5.313
6.693, 5.318
6.698, 5.320
6.703, 5.322
6.708, 5.321
6.713, 5.319
6.718, 5.320
6.723, 5.321
6.728, 5.318
6.733, 5.326
6.738, 5.321
6.743, 5.325
6.748, 5.321
6.753, 5.319
6.758, 5.317
6.763, 5.315
6.768, 5.315
6.773, 5.312
6.778, 5.318
6.783, 5.322
6.788, 5.321
6.793, 5.326
6.798, 5.327
6.803, 5.321
6.808, 5.321
6.813, 5.321
6.818, 5.320
6.823, 5.321
6.828, 5.327
6.833, 5.318
6.838, 5.319
6.843, 5.317
6.848, 5.320
6.853, 5.320
6.858, 5.318
6.863, 5.322
6.868, 5.313
6.873, 5.318
6.878, 5.316
6.883, 5.320
6.888, 5.325
6.893, 5.319
6.898, 5.318
6.903, 5.319
6.908, 5.317
6.913, 5.322
6.918, 5.319
6.923, 5.318
6.928, 5.321
6.933, 5.319
6.938, 5.318
6.943, 5.325
6.948, 5.325
6.953, 5.323
6.958, 5.317
6.963, 5.321
6.968, 5.314
6.973, 5.310
6.978, 5.314
6.983, 5.312
6.988, 5.306
